轮次,判别器损失,生成器对抗损失,生成器特征损失,生成器残差约束损失,生成器总损失,Wasserstein估计,梯度惩罚,判别器更新次数,生成器更新次数
47,-0.21153575669468186,-12.99974858319318,0.0003137604357174563,0.0010321305038545419,-12.997233355486834,0.2768889062198592,0.006535314882955986,81,27
48,-0.20704260772025143,-12.943336168924967,0.00030641962722357776,0.0010218172165979114,-12.94087968049226,0.271706015975387,0.006466340897374867,81,27
49,-0.20247925836362957,-12.711627536349827,0.0003205627338805546,0.0011049085426040823,-12.709057560673466,0.266897060253002,0.006441780228029798,81,27
50,-0.2075746520249932,-12.52386004836471,0.0003219233481946436,0.0010821404478823145,-12.521279229058159,0.26993771541265793,0.006236306403154208,81,27
51,-0.18949479848882297,-12.856507866470903,0.0003155021711588941,0.0010822244717187627,-12.853978510256168,0.25188348322738835,0.006238868508924857,81,27
52,-0.19130255019775144,-14.12886178051984,0.00031402422583023845,0.0010397592214522538,-14.126344362894693,0.25291847888334296,0.006161592782900473,81,27
53,-0.19538641730208456,-14.76214783279984,0.0003030541308732979,0.0010119537969499274,-14.75971832981816,0.25313453909791545,0.005774812206602943,81,27
54,-0.18265815037820074,-15.159667756822374,0.0002936238064042603,0.0009482577162863756,-15.157314123930755,0.2404072019788954,0.0057749051520209985,81,27
55,-0.18634891785957194,-14.868421660529243,0.0003182599277890943,0.0010557922133658496,-14.865870299162689,0.24537312542950665,0.005902420715026465,81,27
56,-0.1836804445878959,-15.096671245716236,0.00029952985534220243,0.001009829284157604,-15.094269858466255,0.239269032890414,0.005558858944655016,81,27
57,-0.17578327044108769,-16.206473173918546,0.0002778140322469106,0.0009556132761106171,-16.204246132462114,0.23049120255458502,0.005470793067627115,81,27
58,-0.1867517505163028,-16.19375373699047,0.00030204317590687424,0.0010206106019689254,-16.1913322519373,0.23983637491861978,0.0053084623241038235,81,27
59,-0.16905115190663456,-16.279360488609033,0.0002945642977633893,0.000989708305698716,-16.276999085037797,0.2237684932755835,0.0054717341216603,81,27
60,-0.1757933390269309,-17.320695523862486,0.0002940554528592016,0.00098081490162898,-17.318337970309788,0.228106039541739,0.005231269971571035,81,27
61,-0.18396719535927714,-17.87170593826859,0.00028857819011641876,0.0009685008521450476,-17.869392536304616,0.2347969479031033,0.0050829752667427616,81,27
62,-0.17551384272950668,-18.251545305605287,0.0002537886671402871,0.0009070373791338945,-18.249510447184246,0.22542249420542776,0.004990865180360867,81,27
63,-0.16479563156579746,-18.079481054235387,0.00024942516595021717,0.0008983807099327721,-18.077481234515155,0.2143840789794922,0.004958844781036914,81,27
64,-0.15845985163325144,-18.641352971394856,0.00026192535868311233,0.0009841860834664355,-18.639252697979963,0.214265517246576,0.005580566492920489,81,27
65,-0.1804923328490537,-18.993012181034796,0.0002626249619492295,0.0009431350174256497,-18.990906326859086,0.22882261393982686,0.004833028233541107,81,27
66,-0.16631172066209493,-19.563174212420428,0.00026084551710583683,0.0009150977830695747,-19.561082769323278,0.2210907170801987,0.005477899648134171,81,27
67,-0.17712252375520307,-20.16100396050347,0.0002675282774833721,0.0009671422659367737,-20.15885897035952,0.2273244975525656,0.00502019743061406,81,27
