轮次,判别器损失,生成器对抗损失,生成器特征损失,生成器残差约束损失,生成器总损失,Wasserstein估计,梯度惩罚,判别器更新次数,生成器更新次数
14,-0.033462987200897416,-4.852031487005728,0.00044150018193586557,0.004090345171452673,-4.848417635317202,0.07783603079525041,0.004437304395797122,81,27
15,-0.04562653099865089,-4.971365637249416,0.0003962813212570769,0.0037025594911365596,-4.968121307867545,0.08533449526186343,0.003970796430632932,81,27
16,-0.0406505657520927,-5.758891723774098,0.00036122291176407425,0.0033623234938002294,-5.755934679949725,0.07732091126618562,0.003667034586046443,81,27
17,-0.03227686615269861,-5.475366504104049,0.00033681321548539454,0.0030159479334812473,-5.472611692216661,0.0695481182616434,0.003727125220236449,81,27
18,-0.0336819914985954,-5.5617822541130915,0.0003273681919650968,0.0028012789682381684,-5.559107285958749,0.07329974351105867,0.003961775191042021,81,27
19,-0.03850982338190079,-5.254733668433295,0.0002982981607568002,0.0026874451518610672,-5.25229353374905,0.07347970244325237,0.003496987876672022,81,27
20,-0.03373740015574443,-5.181359873877631,0.00027423450201577334,0.0024293490245731342,-5.179117414686415,0.06723099579045802,0.0033493595730289126,81,27
21,-0.029839473098148533,-5.793565803103977,0.00025666015129967556,0.0022702543841054044,-5.791467189788818,0.06426196039458852,0.0034422487261946554,81,27
22,-0.038945803579724866,-5.31413585168344,0.00025200535472120263,0.0022460040636360645,-5.312074855521873,0.0716321438918879,0.0032686341150065905,81,27
23,-0.03152456950902203,-6.000797942832664,0.00024830084132392786,0.002102396696702474,-5.998769459901033,0.06473220424887574,0.0033207634718295325,81,27
24,-0.028806925026906863,-5.742910067240397,0.00023086155555642176,0.0020052093529590856,-5.741023081320304,0.059852917989095054,0.0031045992933443666,81,27
25,-0.029931298261623322,-5.818995281502053,0.00021436244585654803,0.0019002778119304115,-5.817242322144685,0.06102750919483326,0.00310962107664917,81,27
26,-0.029509295870400507,-6.171999154267488,0.00020159089466755244,0.0018621455464098188,-6.170349191736292,0.06023742534496166,0.003072812964271662,81,27
27,-0.031010558437785985,-6.17479873586584,0.0002054084093456536,0.0017804580102502197,-6.173119792231807,0.0599904943395544,0.0028979935867274984,81,27
28,-0.03095381463199486,-6.274169639304832,0.00020409685816115666,0.0017479860473907105,-6.272501910174334,0.06012944821958189,0.002917563340074762,81,27
29,-0.029700344589389402,-6.431188124197501,0.00018838049274765782,0.0016016722527436083,-6.42964901747527,0.05688841548966773,0.002718807089237358,81,27
30,-0.02654950658756274,-6.661868978429724,0.0001854546318537797,0.001653045027827223,-6.660352283053928,0.05553963743610146,0.00289901311762263,81,27
31,-0.028149161177376907,-7.254508919186062,0.00017912335331655212,0.0015671284981416884,-7.253044605255127,0.054775632457968626,0.002662647119579538,81,27
32,-0.023430441724665373,-7.071447266472711,0.00017868041969551187,0.0015343761382003625,-7.069987138112386,0.05106433232625326,0.0027633890413311254,81,27
33,-0.028257111029952396,-7.281892370294641,0.00017436354095547426,0.0014746985656933652,-7.2804680047211825,0.05421642020896629,0.0025959309276026663,81,27
34,-0.023435178396786438,-7.7584348961159035,0.00017047996812767383,0.0014468963232098354,-7.757042072437428,0.049317618946970246,0.0025882440659413,81,27
35,-0.024251961149275303,-8.317343393961588,0.0001659557569332214,0.0014176146403231003,-8.315987322065565,0.04950055958312235,0.0025248598497084997,81,27
36,-0.027167785533324437,-8.484284224333587,0.00015629866808282073,0.0014504921165536398,-8.483004817256221,0.051765000378644024,0.002459721490280864,81,27
37,-0.022846617540459573,-7.70393760116012,0.00016294714226171858,0.0013332854119922828,-7.702607455076994,0.047990380981822074,0.0025143763380998997,81,27
38,-0.024351721261570484,-8.116613688292327,0.00016887031718700504,0.00134981875911493,-8.115235770190203,0.047618336147732206,0.002326661490197121,81,27
39,-0.02244983781359078,-8.346684049676966,0.0001570532115659228,0.001301519648189208,-8.345401604970297,0.04705077041814357,0.0024600932424899513,81,27
40,-0.024677957741566645,-7.890122201707628,0.00015989011336825097,0.0013380791125301686,-7.888816391980207,0.04953349666830934,0.0024855539086274803,81,27
41,-0.026366839139365855,-8.454020323576751,0.00014689282721115483,0.0012856468049533389,-8.452819488666675,0.04934605845698604,0.0022979219204079314,81,27
42,-0.019278043064714215,-8.899238763032136,0.00014446437045181583,0.001215236988004849,-8.898058820653844,0.04219480208408685,0.002291675895254162,81,27
43,-0.022113291270754957,-8.969552711204246,0.00014666385390295613,0.001240558739044462,-8.96835470199585,0.043542449856981816,0.0021429158385015195,81,27
44,-0.022256856140347173,-9.072537987320512,0.00014051946076236804,0.0011972843203693628,-9.071389798764828,0.04398317690248842,0.0021726320688842714,81,27
45,-0.024016678264295613,-9.633180618286133,0.00014905679644370038,0.001233044589214303,-9.631963517930773,0.04521209810986931,0.002119542001085471,81,27
46,-0.02036822540110644,-9.871131614402488,0.00013833216561815115,0.0011547930706809792,-9.870001828228986,0.041890485787097316,0.002152226032419015,81,27
47,-0.019310804405882034,-9.949760260405364,0.00013880754758483144,0.0011414768739120551,-9.948626906783492,0.03958366535328053,0.0020272860973268563,81,27
48,-0.018863385566222815,-9.882822884453667,0.00013430437495656037,0.0011250566264304023,-9.881725911740903,0.03984394779911748,0.0020980562182591747,81,27
49,-0.02527041842494114,-9.607027654294614,0.00013844926595791348,0.00115937013739582,-9.605896808482983,0.045154842329613955,0.0019884423969347997,81,27
