轮次,判别器损失,生成器损失,Wasserstein估计,梯度惩罚,判别器更新次数,生成器更新次数
223,-17.396964308656294,-56.26479014643916,23.69324224966544,0.6296277889682923,81,27
224,-17.399347175786524,-55.92263341833044,23.9188902584123,0.6519543087040937,81,27
225,-17.152419832017685,-55.45130694354022,23.969369017047647,0.6816949117698787,81,27
226,-17.488141071649245,-55.6205413253219,23.963021219512562,0.647488029466735,81,27
227,-17.332731706124765,-55.31859842936198,23.830885804729697,0.6498154186540179,81,27
228,-17.655355995084033,-55.202193648726855,24.425873179494598,0.6770517179443513,81,27
229,-17.721374370433665,-55.15140208491572,24.666581000810787,0.6945206671953201,81,27
230,-17.548851036731108,-54.297005264847364,24.137108084596235,0.658825703057242,81,27
231,-17.671703079600395,-54.099808869538485,24.355418735080296,0.6683715710669388,81,27
232,-17.757953584930043,-54.11988830566406,24.48467881002544,0.6726725143782887,81,27
233,-18.145478354560005,-54.24835233335142,25.111592422296972,0.6966113915413986,81,27
234,-17.733479429174352,-53.68803942645037,24.728009777304568,0.6994530278959392,81,27
235,-17.507548803164635,-53.06488093623408,24.33067477190936,0.6823126035340038,81,27
236,-17.28004037598033,-53.66561663592303,24.015966580237873,0.6735926180342098,81,27
237,-17.157697583422248,-53.88383893613462,23.74303021843051,0.6585332598583198,81,27
238,-17.529627870630335,-53.736932542588974,24.26440754643193,0.6734779708915286,81,27
239,-17.10104015727102,-53.619495956986036,23.734447903103298,0.6633407745832278,81,27
240,-17.19976219130151,-52.86177472715025,23.830780264772017,0.6631018078805487,81,27
241,-17.133630670147177,-52.968387321189596,23.69461582325123,0.6560985109320393,81,27
242,-17.11037629916344,-52.15338290179217,23.68641549569589,0.6576039244731268,81,27
243,-17.52023156483968,-51.19591734144423,24.270431801124854,0.6750200181095688,81,27
244,-17.128099111863126,-51.43507484153465,23.760408801796995,0.6632309762048133,81,27
245,-17.270560464741273,-51.635442380551936,24.08188111105083,0.6811320555430872,81,27
246,-17.322707694253804,-52.21842970671477,23.85761896769206,0.6534911307655735,81,27
247,-16.481441144590026,-52.09501478407118,22.83266665611738,0.6351225515942515,81,27
248,-16.5221597177011,-51.69174999660916,23.162631658860196,0.6640471976112436,81,27
249,-16.846700703656232,-51.438861281783495,23.05176153300721,0.6205060816841361,81,27
250,-17.09974969463584,-50.65550373218678,23.79405739866657,0.6694307730153755,81,27
251,-16.929950513957458,-49.33083286991826,23.443732885666837,0.6513782417700614,81,27
252,-17.12829406173141,-48.59710749873408,23.736946482717254,0.6608652371315309,81,27
253,-16.983436702210227,-48.065862867567276,23.538318963698398,0.6554882316677658,81,27
254,-16.886691799870245,-48.27672689932364,23.39469344527633,0.6508001620754783,81,27
255,-16.653404942265265,-47.93256929185655,23.168034918514298,0.6514629986551073,81,27
256,-16.883492234312456,-47.94444387930411,23.307764029797212,0.6424271727417722,81,27
257,-16.898609549910933,-47.74667485555013,23.455775979124468,0.655716649176162,81,27
258,-16.940787774545175,-48.314919507061994,23.42546797387394,0.648468025304653,81,27
259,-16.78297284208698,-48.21465824268483,23.028925201039254,0.6245952390226317,81,27
260,-16.385629806989506,-48.64419103551794,22.790477517210405,0.6404847784174813,81,27
261,-16.63088803232452,-49.204453786214195,22.850904535364222,0.6220016519964477,81,27
262,-16.619867701589325,-47.847376081678604,22.954126193199627,0.6334258461440051,81,27
263,-16.065593790124964,-47.65711127387153,22.51882995793849,0.6453236129916744,81,27
264,-16.466532589476785,-48.452626122368706,22.855015413260755,0.6388482769698273,81,27
265,-16.596432391508127,-47.862508138020836,22.68458486486364,0.6088152524129844,81,27
266,-16.36063439169048,-47.96076739275897,22.77733960563754,0.641670521578671,81,27
267,-16.48492286823414,-47.994084958676936,22.868638780381943,0.6383715926865001,81,27
268,-16.587464803530846,-48.48420913131149,22.83181282326027,0.6244347928850739,81,27
269,-16.564889813646857,-47.77171693024812,22.80539741045163,0.6240507636541202,81,27
270,-16.81334172943492,-47.50464559484411,23.139824196144385,0.6326482439482654,81,27
271,-16.295131648028338,-47.7548450893826,22.487063419671706,0.6191931767964068,81,27
272,-16.64959435404083,-47.58285790902597,23.029443481822074,0.6379849060818001,81,27
273,-16.789684884342147,-47.025507043909144,23.149519131507404,0.6359834222146022,81,27
274,-16.717656582961848,-47.71813413831923,23.176319075219425,0.645866244111532,81,27
275,-15.766861491733128,-48.09003547385887,21.971680017165195,0.6204818518441401,81,27
276,-16.42196727093355,-48.466560222484446,22.446089049916207,0.6024121802162241,81,27
277,-16.235681887026185,-47.663901011149086,22.631095509470246,0.6395413721049273,81,27
278,-15.932740670663339,-47.94309220490632,22.150389070864076,0.6217648396153509,81,27
279,-16.1595000985228,-47.48450696026838,22.25265493510682,0.6093154753799792,81,27
280,-16.24626934381179,-47.82912770024053,22.4667453530394,0.6220476136163429,81,27
281,-15.734292607248566,-47.905023645471644,21.752725153793524,0.6018432485468593,81,27
282,-16.148006745326665,-48.00132101553458,22.316638852343146,0.616863211363922,81,27
283,-15.81837976714711,-47.85222526832863,21.853920971905744,0.6035541231617515,81,27
284,-16.477063991405345,-47.93215490270544,22.82461750360183,0.6347553529489187,81,27
285,-16.35127983564212,-46.6184477629485,22.53665990005305,0.6185380098996339,81,27
286,-16.012117833267023,-47.17800211023401,22.13324624520761,0.6121128444318418,81,27
287,-16.083388446289817,-47.09784175731517,22.207491698088468,0.6124103298341786,81,27
288,-16.069038120316872,-47.28345178674768,22.252073452796466,0.6183035335055104,81,27
289,-16.094910739380637,-46.8555530971951,22.138468942524476,0.6043558231106511,81,27
290,-16.036498140405726,-47.21798395227503,22.155279041808328,0.6118780895147795,81,27
291,-16.006030718485516,-46.84972621776439,22.27745258660964,0.627142193324772,81,27
292,-15.903695165375133,-47.097853342692055,21.90803320613908,0.600433811545372,81,27
293,-15.766007246794524,-46.61401508472584,21.880742908995828,0.6114735546303384,81,27
294,-16.119690506546586,-46.76223232128002,22.20158682929145,0.6081896313914547,81,27
295,-16.33058837608055,-46.33349948459201,22.383665673526718,0.6053077273162795,81,27
296,-15.695652679160789,-47.111822340223526,21.78856117342725,0.6092908369538225,81,27
297,-15.700763149025999,-47.02156321207682,21.83172419041763,0.6130961035320788,81,27
298,-15.941048280692394,-47.00890788325557,21.808616167233314,0.5867567892059867,81,27
299,-16.08448005016939,-46.948280617042826,22.15913042610074,0.60746503814503,81,27
300,-16.062418725755478,-47.17264952483001,22.09897321536217,0.6036554446190964,81,27
301,-15.79958846245283,-47.13838775069625,21.82369933893651,0.6024110900399126,81,27
302,-15.770542203644176,-47.092624523021556,21.804888784149547,0.6034346721422525,81,27
303,-16.232855278768657,-46.23414046676071,22.364244060751833,0.6131388790629528,81,27
304,-15.787587342438874,-46.00535583496094,21.886193452058016,0.6098606236922888,81,27
305,-16.04213316646623,-46.458707880090785,22.19358726784035,0.6151454073411448,81,27
306,-16.072382255836768,-46.79448812979239,22.00947533124759,0.5937093106316932,81,27
307,-16.060905809755678,-46.457112065067996,22.22397161413122,0.6163065726006473,81,27
308,-16.055696016476478,-47.26153564453125,22.11826404524438,0.6062567974498243,81,27
309,-15.509198412483121,-46.413773995858655,21.359800221007546,0.5850601779457963,81,27
310,-15.811700750280309,-46.16530199404116,21.80696883024993,0.5995268159442477,81,27
311,-15.741614906876176,-46.145703068485965,21.731668071982302,0.5990053172464724,81,27
312,-15.691280682881674,-45.8525434423376,21.575710673391082,0.588442995040505,81,27
313,-15.533247194172423,-46.333193178530095,21.438802365903502,0.5905555148183563,81,27
314,-15.825032340155708,-46.096077389187286,21.689216896339698,0.5864184570533258,81,27
315,-15.857519467671713,-45.75414021809896,21.848421920964746,0.5990902430113451,81,27
316,-15.88494982542815,-44.724119398328995,21.946461053542148,0.6061511220019541,81,27
317,-15.782441327601303,-44.43417669225622,21.840176287992502,0.6057734919918908,81,27
318,-15.940190633138021,-43.99584565339265,22.03867556725019,0.6098484950669018,81,27
319,-15.595369103514118,-44.561242704038264,21.485295990366996,0.5889926905525319,81,27
320,-15.839642642456809,-44.62534968058268,22.005265789267458,0.6165623214141822,81,27
321,-15.731523396056375,-44.53860092163086,21.6521666255998,0.5920643188335277,81,27
322,-15.785936543970932,-43.984511340105975,21.846446096161266,0.6060509475660912,81,27
323,-16.216438787954825,-43.91631825764974,22.2163545584973,0.5999915818741293,81,27
324,-15.79879993862576,-43.62903199372468,21.86735577053494,0.6068555819399563,81,27
325,-15.262787924872505,-44.23642137315538,21.04975453129521,0.5786966655725314,81,27
326,-15.395407617827992,-44.08096581918222,21.267840067545574,0.5872432510426016,81,27
327,-15.60472728587963,-44.64984837284795,21.55700099615403,0.595227374062862,81,27
328,-16.382546625019593,-43.52017452098705,22.594939808786652,0.6212393227550719,81,27
329,-15.653821733262804,-44.12318222611039,21.497859483883705,0.584403783450892,81,27
330,-16.238536304897732,-43.8293896427861,22.547322732430917,0.6308786427533185,81,27
331,-15.688136689456893,-44.04316358213072,21.669084242832515,0.5980947551168041,81,27
332,-15.837775560072911,-43.887583555998624,21.690382451186945,0.5852606907302951,81,27
333,-16.07444703137433,-43.75142909862377,22.188953117088037,0.6114506084977844,81,27
334,-16.077406800823447,-44.23638393260814,22.268988338517556,0.6191581529967579,81,27
335,-15.623428238762749,-44.15439761126483,21.753956971345126,0.6130528775630174,81,27
336,-15.65570526358522,-44.49581033212167,21.5823907263485,0.5926685537453051,81,27
